blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""490439643073""","""Heber, UT""",1.00,1621.00,585.00,1739.58,55,69,81,39,48,59,16,20,22,7.80,2.62,2.22,2,2,23549,23352,21819,0,0,0,18880,18497,16479,14234,13890,12176,4646,4607,4303,0,0,0,37,38,31,4.3,3.1,0.34,3525,45,6749,42,56,3711,4001,2734,77,23
"""490439643081""","""Heber, UT""",1.00,790.00,200.00,3632.07,57,71,84,40,49,60,17,21,23,8.53,0.47,2.40,2,2,23729,23532,21999,1,1,1,20098,19715,17642,15417,15073,13304,4681,4642,4338,0,0,0,65,67,54,1.7,6.5,0.06,3131,78,5883,40,130,3781,4001,,95,6
"""490439643082""","""Heber, UT""",1.00,533.00,286.00,1020.31,44,55,64,27,34,42,17,20,22,,,2.28,2,2,22600,22403,20870,2,2,2,19091,18708,16672,14633,14289,12556,4458,4420,4116,0,0,0,138,141,114,2.2,6.6,0.28,3366,66,8248,40,128,2617,3158,490,80,20
"""490439643083""","""Heber, UT""",1.00,1972.00,662.00,685.23,53,66,78,37,46,57,16,20,22,7.57,7.31,2.24,2,2,21870,21673,20140,2,2,2,18681,18298,16274,14366,14022,12302,4314,4276,3972,0,0,0,133,136,109,3.2,7.1,0.97,3614,77,8592,39,34,3543,3551,3501,84,16
"""490439644011""","""Heber, UT""",1.00,919.00,456.00,3792.94,52,65,76,35,44,54,17,20,22,6.12,0.74,2.24,2,2,23108,22911,21378,1,1,1,18975,18592,16566,14417,14073,12350,4559,4520,4216,0,0,0,97,99,80,2.3,5.2,0.12,2696,56,5842,41,165,3390,4001,2250,65,35
"""490439644012""","""Heber, UT""",1.00,776.00,347.00,3964.28,46,57,68,30,38,46,16,20,21,7.11,0.62,2.17,2,2,22526,22329,20796,1,1,1,18407,18024,16019,13963,13619,11918,4444,4405,4101,0,0,0,71,74,59,3.7,3.0,0.09,2494,37,9021,42,104,2896,3964,1461,57,43
"""490439644021""","""Heber, UT""",1.00,170.00,93.00,2203.77,,,,,,,17,21,23,,,2.30,2,2,23622,23425,21892,1,1,1,19443,19060,17017,14783,14439,12700,4660,4621,4317,0,0,0,77,78,63,5.7,2.5,0.04,2063,22,9483,43,51,,,,100,0
"""490439644022""","""Heber, UT""",1.00,929.00,259.00,897.79,44,55,65,29,37,45,15,18,20,7.44,2.15,2.06,2,2,21036,20839,19306,1,1,1,17358,16975,15005,13208,12864,11198,4150,4111,3807,0,0,0,106,109,88,5.8,4.4,0.29,3086,27,8978,40,41,2797,3516,1791,58,42
"""490439644023""","""Heber, UT""",1.00,533.00,175.00,2782.77,43,53,63,26,32,40,17,21,23,8.57,0.54,2.33,2,2,24008,23811,22278,1,1,1,19687,19304,17252,14951,14607,12859,4736,4697,4393,0,0,0,54,54,44,3.3,2.9,0.06,2080,50,4510,41,90,2488,2738,,91,9
"""490439644024""","""Heber, UT""",1.00,2412.00,596.00,226.52,37,46,54,23,28,35,15,18,19,8.96,23.57,2.00,2,2,20333,20136,18603,3,3,3,16883,16500,14546,12871,12527,10877,4011,3972,3669,0,0,0,207,212,171,6.7,6.4,2.63,3622,36,9096,40,13,2164,2384,1815,61,39
"""490439641011""","""Heber, UT""",1.00,1356.00,379.00,194321.93,36,44,51,16,21,25,19,24,26,10.97,0.02,2.54,2,2,30223,30026,28493,0,0,0,22307,21925,19806,16338,15994,14182,5962,5923,5619,7,7,6,6,6,5,0.1,0.2,0.00,763,71,1165,48,1580,1574,1885,1095,61,39
"""490439641012""","""Heber, UT""",1.00,880.00,299.00,28779.20,32,39,45,13,16,20,19,23,26,9.52,0.10,2.52,2,2,28218,28021,26488,0,0,0,21787,21404,19292,16212,15868,14062,5567,5528,5223,8,8,6,7,8,6,0.1,1.4,0.01,1245,92,1596,43,496,1235,1330,764,83,17
"""490439641031""","""Heber, UT""",1.00,1493.00,555.00,20782.05,39,48,56,20,25,30,19,23,26,8.65,0.23,2.55,3,2,27804,27607,26074,0,0,0,21886,21503,19384,16401,16057,14242,5485,5446,5142,0,0,0,24,24,20,0.6,1.5,0.03,1715,98,3834,44,184,1900,1971,,96,4
"""490439641032""","""Heber, UT""",1.00,35.00,20.00,6292.84,,,,,,,19,24,26,,,2.56,3,2,28492,28295,26762,0,0,0,22045,21663,19540,16416,16072,14256,5621,5582,5277,8,9,7,8,8,7,1.0,1.2,0.00,936,50,1557,43,899,,,,100,0
"""490439641041""","""Heber, UT""",1.00,500.00,150.00,163870.57,,,,,,,20,25,28,11.09,0.01,2.66,3,2,31943,31746,30214,0,0,0,23380,22997,20844,17073,16728,14882,6302,6263,5958,6,6,5,5,5,4,0.0,0.2,0.00,564,100,839,48,1862,,,,69,31
"""490451306001""","""Salt Lake City, UT""",1.00,394.00,186.00,894580.54,35,42,39,13,17,16,22,26,24,9.28,0.00,2.18,2,2,28005,27808,26722,0,0,0,19531,18507,17730,13999,13016,12455,5525,5484,5269,7,7,6,6,7,5,2.4,0.4,0.00,193,18,494,45,3651,996,,1035,4,96
"""490451307071""","""Salt Lake City, UT""",1.00,875.00,350.00,442533.80,51,62,58,26,32,31,25,29,27,9.70,0.01,2.56,3,2,29947,29750,28664,0,0,0,22332,21194,20419,16420,15324,14763,5908,5867,5652,4,4,3,9,9,8,0.1,0.6,0.00,855,91,828,45,1046,1951,2086,1060,87,13
"""490459800001""","""Salt Lake City, UT""",1.00,0.00,0.00,80438.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,
"""490451306002""","""Salt Lake City, UT""",1.00,1499.00,493.00,2768167.49,36,43,41,14,17,16,22,26,24,9.46,0.00,2.28,2,2,27476,27279,26193,0,0,0,20075,19020,18244,14646,13633,13072,5420,5379,5165,8,8,6,8,8,6,2.0,0.8,0.00,501,32,553,43,4220,1020,1898,578,33,67
"""490451307011""","""Salt Lake City, UT""",1.00,840.00,244.00,16084.82,59,72,68,35,44,42,23,28,25,9.32,0.14,2.46,2,2,26179,25982,24895,0,0,0,20969,19861,19084,15794,14727,14167,5164,5123,4909,10,10,8,9,10,8,0.2,1.5,0.02,2760,85,4092,44,596,2659,2923,,91,9
