blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""490451309003""","""Salt Lake City, UT""",1.00,3233.00,1044.00,469.34,39,48,45,21,26,25,19,22,20,7.38,16.42,2.01,2,2,20708,20511,19424,1,1,1,17003,16032,15251,12890,11958,11398,4085,4045,3830,28,29,23,27,27,22,6.1,3.3,2.22,7051,51,6905,42,13,1549,1721,1133,71,29
"""490451310011""","""Salt Lake City, UT""",1.00,1393.00,424.00,113.56,42,51,48,21,26,25,21,25,23,8.46,31.57,2.21,2,2,23106,22909,21823,1,1,1,18743,17712,16934,14171,13179,12619,4558,4518,4303,14,15,12,13,14,11,3.9,2.8,3.73,6979,100,6113,42,8,1588,1662,,96,4
"""490451310012""","""Salt Lake City, UT""",1.00,1656.00,522.00,635.31,41,49,46,21,26,25,20,23,21,7.71,6.33,2.11,2,2,21677,21480,20393,1,1,1,17875,16872,16092,13576,12613,12052,4276,4236,4021,22,23,18,21,22,17,4.1,3.2,0.82,7199,68,6656,42,28,1559,1587,1472,76,24
"""490451310031""","""Salt Lake City, UT""",1.00,3124.00,1308.00,345.08,33,39,37,14,17,16,19,22,21,6.43,24.35,2.03,2,2,20826,20629,19543,1,1,1,17165,16188,15407,13028,12090,11529,4108,4068,3854,29,30,24,27,28,22,5.4,2.7,3.79,8814,83,6918,43,6,1025,1012,1052,66,34
"""490451310032""","""Salt Lake City, UT""",1.00,1225.00,319.00,210.92,41,50,47,21,26,25,20,23,21,9.27,14.01,2.09,2,2,22252,22055,20968,1,1,1,17826,16830,16052,13421,12465,11905,4390,4349,4135,15,15,12,14,15,12,5.1,2.3,1.51,7639,78,5908,43,9,1594,1576,1641,72,28
"""490451310041""","""Salt Lake City, UT""",1.00,2609.00,745.00,236.07,40,48,45,19,23,22,21,25,23,8.47,26.73,2.23,2,2,23169,22972,21885,1,1,1,18886,17849,17070,14301,13304,12743,4571,4530,4316,15,15,12,14,14,11,4.0,2.6,3.16,7848,97,6209,43,9,1401,1414,,99,1
"""490451310051""","""Salt Lake City, UT""",1.00,2331.00,634.00,358.81,35,42,40,16,20,19,19,22,20,7.26,12.84,2.03,2,2,20718,20521,19435,1,1,1,17146,16169,15388,13031,12093,11533,4087,4047,3832,28,29,23,26,27,21,5.1,3.0,1.77,8885,71,7407,43,12,1195,1249,1101,64,36
"""490451311011""","""Salt Lake City, UT""",1.00,2989.00,858.00,556.54,40,49,46,19,24,23,21,24,23,8.92,13.76,2.17,2,2,24021,23824,22738,0,0,0,18712,17690,16913,13961,12979,12419,4739,4698,4484,13,13,10,12,12,10,4.5,1.4,1.54,5177,80,3850,44,12,1449,1510,1146,83,17
"""490451311012""","""Salt Lake City, UT""",1.00,1740.00,573.00,695.11,43,52,49,21,27,26,21,25,23,8.57,7.06,2.27,2,2,24093,23896,22810,0,0,0,19319,18269,17492,14553,13544,12983,4753,4712,4498,13,13,11,12,12,10,3.4,1.9,0.82,6459,81,4928,44,26,1616,1662,,97,3
"""490451311021""","""Salt Lake City, UT""",1.00,2280.00,885.00,409.12,38,46,43,18,22,22,20,23,21,7.15,15.47,2.11,2,2,21923,21726,20640,1,1,1,17920,16918,16137,13568,12605,12044,4325,4284,4070,27,28,22,26,26,21,4.3,2.2,2.16,8313,81,6410,44,14,1348,1805,,75,25
"""490451311022""","""Salt Lake City, UT""",1.00,2379.00,636.00,284.62,38,46,44,18,22,21,21,24,22,9.18,20.51,2.19,2,2,22998,22801,21715,1,1,1,18597,17572,16792,14038,13053,12492,4537,4496,4282,22,23,18,21,21,17,3.8,2.0,2.23,6386,88,4890,43,14,1330,1516,,88,12
"""490451312001""","""Salt Lake City, UT""",1.00,1492.00,508.00,249.85,44,53,50,23,29,27,21,25,23,8.30,16.88,2.21,2,2,23505,23308,22221,1,1,0,18871,17837,17060,14220,13227,12666,4637,4596,4382,14,14,11,13,13,11,4.5,1.9,2.03,6596,77,5070,44,14,1718,1781,,96,4
"""490451312002""","""Salt Lake City, UT""",1.00,1206.00,454.00,135.47,35,43,40,16,20,19,19,23,21,6.65,22.30,2.07,2,2,21456,21259,20173,1,1,1,17538,16549,15769,13280,12331,11770,4233,4192,3978,25,26,21,24,24,19,4.8,2.4,3.35,7982,92,6217,43,6,1200,1333,900,69,31
"""490451312003""","""Salt Lake City, UT""",1.00,788.00,294.00,419.07,40,48,45,19,23,22,21,25,23,7.52,5.27,2.26,2,2,23211,23014,21928,1,1,1,19080,18035,17256,14482,13477,12916,4579,4538,4324,19,20,16,18,18,15,3.5,2.2,0.70,6508,97,5230,43,12,1409,1469,,96,4
"""490479682012""","""Vernal, UT""",1.00,2073.00,623.00,4151.42,55,68,49,27,34,25,28,34,24,8.93,1.34,2.25,2,2,25542,25345,24705,0,0,0,18815,18448,18259,13769,13441,13380,5037,4998,4872,9,9,8,8,9,7,1.2,3.6,0.15,1363,85,1640,39,166,1556,1671,,93,7
"""490479684032""","""Vernal, UT""",1.00,1963.00,661.00,338.29,40,49,35,17,22,16,22,27,19,6.64,12.97,1.82,2,2,19946,19749,19108,1,1,1,15111,14745,14555,11165,10837,10775,3933,3894,3768,13,14,12,13,13,11,6.2,3.6,1.95,3295,59,4758,41,8,988,1439,755,34,66
"""490479682021""","""Vernal, UT""",1.00,1784.00,539.00,1967.46,50,61,44,21,26,19,29,35,25,9.72,2.66,2.29,2,2,27219,27022,26381,0,0,0,19412,19046,18857,14037,13709,13648,5368,5329,5202,8,8,7,7,8,7,1.2,1.7,0.27,1164,95,906,41,109,1196,1219,,98,2
"""490479402011""","""Vernal, UT""",1.00,412.00,139.00,1674166.66,,,,,,,32,39,28,10.61,0.00,2.51,2,2,32564,32367,31726,0,0,0,21787,21420,21232,15360,15032,14971,6421,6383,6256,5,5,4,5,5,4,2.5,0.2,0.00,150,82,293,47,3796,,,,68,32
