City Area,County,HCOST2019,HCOST2020,HCOST2021,HCOST2022,HCOST2023,HCOST2024,TCOST2019,TCOST2020,TCOST2021,TCOST2022,TCOST2023,TCOST2024,HPLUST2019,HPLUST2020,HPLUST2021,HPLUST2022,HPLUST2023,HPLUST2024
Alpine,Utah,1829.00,1858.00,2074.00,2640.00,2867.00,4341.00,762.00,608.00,701.00,716.00,738.00,749.00,2592.00,2466.00,2776.00,3356.00,3604.00,5090.00
Alta,Salt Lake,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,504.00,336.00,408.00,447.00,474.00,441.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
American Fork,Utah,1521.00,1600.00,1788.00,2213.00,2400.00,3366.00,429.00,352.00,394.00,406.00,418.00,426.00,1950.00,1951.00,2182.00,2619.00,2819.00,3792.00
Balance of BOX ELDER,Box Elder,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1235.00,914.00,1014.00,1140.00,1340.00,1141.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Benjamin,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,587.00,486.00,550.00,551.00,558.00,536.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Bluffdale,Salt Lake,1609.00,1663.00,1853.00,2234.00,2434.00,3126.00,713.00,570.00,633.00,643.00,654.00,644.00,2322.00,2233.00,2486.00,2877.00,3088.00,3771.00
Bountiful,Davis,1520.00,1703.00,1814.00,2167.00,2322.00,3253.00,437.00,358.00,398.00,414.00,423.00,423.00,1956.00,2061.00,2213.00,2582.00,2745.00,3676.00
Box Elder County North,Box Elder,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,787.00,724.00,691.00,709.00,713.00,749.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Box Elder County South,Box Elder,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,673.00,596.00,628.00,651.00,673.00,673.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Brigham City,Box Elder,1138.00,1298.00,1414.00,1675.00,1827.00,2587.00,190.00,173.00,187.00,190.00,198.00,198.00,1328.00,1471.00,1601.00,1865.00,2025.00,2786.00
