City Area,County,HCOST2019,HCOST2020,HCOST2021,HCOST2022,HCOST2023,HCOST2024,TCOST2019,TCOST2020,TCOST2021,TCOST2022,TCOST2023,TCOST2024,HPLUST2019,HPLUST2020,HPLUST2021,HPLUST2022,HPLUST2023,HPLUST2024
Brighton,Salt Lake,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,816.00,704.00,742.00,843.00,859.00,838.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Cedar Fort,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1396.00,1198.00,1115.00,1058.00,997.00,1004.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Cedar Hills,Utah,1832.00,1989.00,2208.00,2632.00,2821.00,4078.00,661.00,535.00,598.00,625.00,638.00,647.00,2493.00,2524.00,2806.00,3257.00,3460.00,4725.00
Centerville,Davis,1549.00,1699.00,1863.00,2231.00,2468.00,3279.00,473.00,385.00,433.00,448.00,459.00,463.00,2022.00,2084.00,2296.00,2680.00,2927.00,3742.00
Clearfield,Davis,1380.00,1551.00,1708.00,1990.00,2133.00,2713.00,382.00,312.00,346.00,353.00,353.00,349.00,1762.00,1862.00,2054.00,2343.00,2486.00,3062.00
Clinton,Davis,1443.00,1581.00,1737.00,2089.00,2264.00,2982.00,477.00,389.00,433.00,440.00,448.00,442.00,1920.00,1969.00,2170.00,2529.00,2713.00,3424.00
Copperton,Salt Lake,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,846.00,722.00,787.00,772.00,798.00,742.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Cottonwood Heights,Salt Lake,2130.00,2340.00,2605.00,3183.00,3354.00,4328.00,413.00,328.00,376.00,394.00,404.00,407.00,2544.00,2669.00,2982.00,3577.00,3759.00,4735.00
Deer Ridge,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,208.00,199.00,264.00,450.00,605.00,647.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Draper,Salt Lake,1807.00,1914.00,2152.00,2560.00,2781.00,3936.00,562.00,450.00,505.00,524.00,536.00,538.00,2370.00,2364.00,2657.00,3084.00,3317.00,4474.00
Eagle Mountain,Utah,1516.00,1590.00,1811.00,2204.00,2337.00,3261.00,951.00,772.00,805.00,809.00,773.00,763.00,2467.00,2362.00,2615.00,3013.00,3110.00,4024.00
Eastside Mountains,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1178.00,1019.00,1125.00,1126.00,1230.00,1196.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Elberta,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1618.00,1232.00,1406.00,1448.00,1500.00,1374.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Elk Ridge,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1008.00,798.00,931.00,924.00,931.00,909.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Emigration Canyon,Salt Lake,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,560.00,457.00,543.00,541.00,572.00,565.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Fairfield,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1535.00,1336.00,1200.00,866.00,820.00,913.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Farmington,Davis,1667.00,1740.00,1938.00,2351.00,2543.00,3400.00,574.00,467.00,526.00,546.00,550.00,545.00,2241.00,2207.00,2464.00,2896.00,3093.00,3945.00
Farr West,Weber,1962.00,2186.00,2509.00,2855.00,3158.00,3984.00,603.00,520.00,575.00,592.00,600.00,600.00,2565.00,2707.00,3083.00,3447.00,3758.00,4583.00
Fruit Heights,Davis,1779.00,1977.00,2177.00,2601.00,2850.00,3667.00,609.00,500.00,554.00,576.00,578.00,573.00,2388.00,2477.00,2731.00,3176.00,3427.00,4240.00
Genola,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1532.00,1323.00,1458.00,1407.00,1482.00,1412.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Goshen,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,866.00,686.00,782.00,789.00,797.00,807.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
HAFB,Davis,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,423.00,336.00,396.00,384.00,399.00,383.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Harrisville,Weber,1390.00,1542.00,1689.00,1955.00,2161.00,2862.00,424.00,347.00,391.00,406.00,418.00,405.00,1814.00,1889.00,2080.00,2361.00,2579.00,3267.00
Herriman,Salt Lake,1618.00,1789.00,1986.00,2416.00,2643.00,3294.00,785.00,615.00,710.00,721.00,734.00,725.00,2403.00,2404.00,2696.00,3137.00,3377.00,4019.00
Highland,Utah,1906.00,2038.00,2341.00,2799.00,2783.00,3930.00,766.00,636.00,713.00,728.00,733.00,739.00,2672.00,2675.00,3054.00,3527.00,3516.00,4668.00
Holladay,Salt Lake,2193.00,2431.00,2606.00,3111.00,3395.00,4515.00,373.00,299.00,341.00,358.00,369.00,375.00,2566.00,2730.00,2948.00,3469.00,3764.00,4890.00
Hooper,Weber,1646.00,1788.00,1976.00,2382.00,2675.00,3546.00,730.00,608.00,675.00,696.00,700.00,684.00,2376.00,2396.00,2650.00,3078.00,3375.00,4230.00
Kaysville,Davis,1536.00,1738.00,1937.00,2341.00,2539.00,3355.00,605.00,500.00,553.00,573.00,581.00,576.00,2140.00,2238.00,2490.00,2914.00,3120.00,3932.00
Kearns,Salt Lake,1320.00,1446.00,1600.00,1882.00,2065.00,2647.00,562.00,462.00,515.00,534.00,547.00,548.00,1882.00,1908.00,2115.00,2417.00,2611.00,3195.00
Lake Shore,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,493.00,401.00,479.00,441.00,483.00,473.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Layton,Davis,1499.00,1656.00,1813.00,2131.00,2327.00,3001.00,439.00,360.00,402.00,415.00,421.00,420.00,1938.00,2015.00,2215.00,2546.00,2748.00,3421.00
Lehi,Utah,1618.00,1679.00,1912.00,2275.00,2392.00,3399.00,546.00,445.00,494.00,510.00,520.00,524.00,2164.00,2124.00,2406.00,2785.00,2912.00,3924.00
Lindon,Utah,1629.00,1701.00,1964.00,2383.00,2553.00,4103.00,473.00,393.00,442.00,453.00,466.00,480.00,2103.00,2094.00,2406.00,2836.00,3020.00,4583.00
Magna,Salt Lake,1487.00,1723.00,1844.00,2152.00,2362.00,2912.00,576.00,464.00,523.00,535.00,541.00,543.00,2063.00,2187.00,2367.00,2687.00,2903.00,3456.00
Mantua,Box Elder,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,721.00,660.00,737.00,721.00,736.00,720.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Mapleton,Utah,1673.00,1757.00,1881.00,2393.00,2522.00,3383.00,591.00,474.00,530.00,537.00,537.00,540.00,2263.00,2231.00,2411.00,2930.00,3058.00,3923.00
Marriott-Slaterville,Weber,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,469.00,399.00,462.00,454.00,472.00,480.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Midvale,Salt Lake,1542.00,1701.00,1887.00,2208.00,2285.00,3049.00,312.00,252.00,285.00,296.00,302.00,305.00,1854.00,1953.00,2173.00,2504.00,2587.00,3353.00
Millcreek,Salt Lake,1953.00,2123.00,2323.00,2787.00,3037.00,3963.00,289.00,233.00,264.00,276.00,281.00,284.00,2242.00,2356.00,2587.00,3062.00,3319.00,4247.00
Mosida,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,689.00,369.00,627.00,834.00,1259.00,696.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Murray,Salt Lake,1557.00,1746.00,1911.00,2259.00,2413.00,3227.00,287.00,235.00,264.00,274.00,280.00,281.00,1844.00,1981.00,2175.00,2533.00,2693.00,3508.00
North Goshen Valley,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,2277.00,2092.00,2150.00,2432.00,2362.00,2286.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
North Ogden,Weber,1547.00,1727.00,1928.00,2227.00,2475.00,3192.00,527.00,441.00,494.00,506.00,518.00,513.00,2074.00,2168.00,2422.00,2734.00,2993.00,3705.00
North Salt Lake,Davis,1585.00,1667.00,1873.00,2248.00,2395.00,3146.00,438.00,360.00,402.00,416.00,425.00,426.00,2023.00,2027.00,2275.00,2664.00,2820.00,3572.00
Ogden,Weber,1249.00,1448.00,1599.00,1855.00,1997.00,2432.00,259.00,211.00,241.00,251.00,260.00,260.00,1508.00,1660.00,1840.00,2106.00,2257.00,2692.00
Orem,Utah,1428.00,1522.00,1688.00,2028.00,2177.00,3169.00,315.00,260.00,297.00,307.00,317.00,325.00,1744.00,1782.00,1985.00,2335.00,2495.00,3494.00
Palmyra,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,361.00,267.00,304.00,322.00,333.00,334.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Payson,Utah,1367.00,1535.00,1671.00,2023.00,2192.00,3052.00,543.00,431.00,502.00,492.00,507.00,498.00,1910.00,1965.00,2173.00,2516.00,2699.00,3550.00
Perry,Box Elder,1248.00,1399.00,1553.00,1870.00,2051.00,2846.00,434.00,380.00,409.00,411.00,420.00,437.00,1682.00,1780.00,1961.00,2281.00,2471.00,3283.00
Plain City,Weber,1861.00,2070.00,2251.00,2795.00,2941.00,3858.00,649.00,560.00,632.00,650.00,673.00,675.00,2510.00,2630.00,2883.00,3445.00,3614.00,4533.00
Pleasant Grove,Utah,1466.00,1551.00,1719.00,2061.00,2251.00,3142.00,447.00,367.00,413.00,426.00,445.00,450.00,1913.00,1919.00,2133.00,2487.00,2696.00,3592.00
Pleasant View,Weber,1640.00,1796.00,2029.00,2466.00,2618.00,3190.00,630.00,535.00,600.00,620.00,621.00,614.00,2270.00,2331.00,2630.00,3085.00,3239.00,3804.00
Provo,Utah,1362.00,1535.00,1663.00,1958.00,2099.00,2928.00,249.00,201.00,232.00,233.00,235.00,236.00,1611.00,1736.00,1894.00,2191.00,2334.00,3164.00
Riverdale,Weber,1419.00,1612.00,1772.00,2118.00,2239.00,2903.00,288.00,231.00,263.00,270.00,278.00,281.00,1707.00,1843.00,2035.00,2388.00,2517.00,3183.00
Riverton,Salt Lake,1767.00,1864.00,2073.00,2489.00,2579.00,3465.00,599.00,474.00,542.00,557.00,568.00,567.00,2366.00,2338.00,2615.00,3046.00,3147.00,4032.00
Roy,Weber,1380.00,1548.00,1731.00,2030.00,2169.00,2758.00,391.00,320.00,360.00,367.00,375.00,374.00,1771.00,1868.00,2091.00,2397.00,2544.00,3132.00
Salem,Utah,1505.00,1682.00,1780.00,2167.00,2298.00,3490.00,623.00,494.00,565.00,570.00,574.00,579.00,2128.00,2176.00,2345.00,2737.00,2872.00,4069.00
Salt Lake City,Salt Lake,1657.00,1788.00,1939.00,2324.00,2527.00,3376.00,193.00,158.00,177.00,185.00,187.00,187.00,1850.00,1946.00,2115.00,2509.00,2714.00,3563.00
Sandy,Salt Lake,1769.00,1879.00,2091.00,2529.00,2705.00,3753.00,437.00,350.00,399.00,413.00,424.00,426.00,2206.00,2229.00,2489.00,2942.00,3129.00,4179.00
Santaquin,Utah,1435.00,1587.00,1737.00,1949.00,2153.00,2879.00,909.00,734.00,847.00,799.00,806.00,791.00,2345.00,2321.00,2584.00,2748.00,2958.00,3670.00
Saratoga Springs,Utah,1621.00,1612.00,1863.00,2293.00,2315.00,3124.00,854.00,675.00,711.00,748.00,748.00,746.00,2475.00,2287.00,2573.00,3041.00,3063.00,3870.00
SL County East Cyns - BCC,Salt Lake,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,712.00,595.00,476.00,671.00,721.00,560.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
SL County East Cyns - LCC,Salt Lake,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,830.00,745.00,768.00,747.00,747.00,778.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
SL County East Cyns - MCC,Salt Lake,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,296.00,195.00,422.00,331.00,319.00,430.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
SL County East Cyns - Parleys,Salt Lake,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,723.00,607.00,680.00,610.00,707.00,734.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
SL County West,Salt Lake,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1016.00,814.00,912.00,901.00,951.00,856.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
South Jordan,Salt Lake,1766.00,1884.00,2069.00,2465.00,2734.00,3670.00,540.00,431.00,490.00,504.00,522.00,521.00,2306.00,2315.00,2559.00,2969.00,3256.00,4191.00
South Ogden,Weber,1342.00,1505.00,1691.00,1980.00,2119.00,2814.00,343.00,274.00,316.00,331.00,342.00,346.00,1685.00,1779.00,2007.00,2311.00,2461.00,3161.00
South Salt Lake,Salt Lake,1414.00,1536.00,1671.00,1966.00,2139.00,2797.00,195.00,164.00,181.00,189.00,195.00,196.00,1609.00,1700.00,1853.00,2154.00,2334.00,2993.00
South Weber,Davis,1673.00,1795.00,1997.00,2338.00,2598.00,3373.00,641.00,532.00,587.00,601.00,626.00,619.00,2314.00,2327.00,2584.00,2939.00,3224.00,3993.00
Spanish Fork,Utah,1440.00,1569.00,1739.00,2091.00,2190.00,2921.00,501.00,398.00,453.00,456.00,466.00,464.00,1941.00,1968.00,2192.00,2547.00,2655.00,3385.00
Springville,Utah,1403.00,1565.00,1700.00,2043.00,2179.00,3183.00,428.00,342.00,386.00,386.00,398.00,399.00,1831.00,1907.00,2085.00,2429.00,2578.00,3582.00
Sunset,Davis,1101.00,1204.00,1363.00,1583.00,1745.00,2298.00,371.00,307.00,335.00,346.00,354.00,340.00,1472.00,1511.00,1697.00,1929.00,2099.00,2638.00
Syracuse,Davis,1650.00,1749.00,1922.00,2327.00,2502.00,3350.00,595.00,493.00,542.00,552.00,553.00,544.00,2245.00,2241.00,2464.00,2879.00,3055.00,3894.00
Taylorsville,Salt Lake,1503.00,1643.00,1798.00,2165.00,2335.00,3063.00,391.00,316.00,360.00,373.00,379.00,381.00,1894.00,1960.00,2158.00,2538.00,2714.00,3444.00
Uintah,Weber,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,491.00,395.00,430.00,476.00,499.00,498.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Vineyard,Utah,1555.00,1551.00,1678.00,2039.00,2483.00,3546.00,410.00,328.00,377.00,385.00,401.00,409.00,1965.00,1879.00,2055.00,2424.00,2884.00,3955.00
Washington Terrace,Weber,1218.00,1380.00,1533.00,1799.00,1969.00,2501.00,307.00,243.00,278.00,293.00,314.00,304.00,1525.00,1623.00,1810.00,2092.00,2282.00,2804.00
Weber County,Weber,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,664.00,583.00,677.00,693.00,735.00,755.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Weber County East Mountains,Weber,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,306.00,299.00,393.00,352.00,336.00,294.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
West Bountiful,Davis,1646.00,1771.00,1991.00,2342.00,2540.00,3281.00,490.00,406.00,447.00,470.00,485.00,480.00,2136.00,2177.00,2438.00,2812.00,3025.00,3761.00
West Haven,Weber,1460.00,1511.00,1693.00,2024.00,2203.00,2754.00,468.00,388.00,430.00,437.00,441.00,438.00,1928.00,1900.00,2123.00,2461.00,2644.00,3192.00
West Jordan,Salt Lake,1636.00,1804.00,1977.00,2361.00,2546.00,3286.00,513.00,409.00,467.00,479.00,491.00,492.00,2150.00,2212.00,2444.00,2840.00,3037.00,3778.00
West Mountain Town,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,787.00,694.00,766.00,697.00,706.00,734.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
West Point,Davis,1597.00,1743.00,1906.00,2262.00,2521.00,3245.00,573.00,477.00,538.00,544.00,540.00,538.00,2170.00,2220.00,2444.00,2805.00,3061.00,3783.00
West Valley City,Salt Lake,1522.00,1699.00,1847.00,2191.00,2356.00,2968.00,475.00,391.00,434.00,447.00,454.00,454.00,1997.00,2090.00,2281.00,2638.00,2810.00,3422.00
Westside Mountains,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,479.00,40.00,1764.00,2078.00,825.00,1574.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
White City,Salt Lake,1654.00,1813.00,1896.00,2170.00,2392.00,3476.00,416.00,339.00,385.00,396.00,406.00,409.00,2070.00,2152.00,2281.00,2565.00,2798.00,3885.00
Willard,Box Elder,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,581.00,506.00,561.00,554.00,573.00,580.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Woodland Hills,Utah,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,989.00,801.00,912.00,910.00,929.00,921.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
Woods Cross,Davis,1596.00,1733.00,1862.00,2220.00,2450.00,3068.00,445.00,373.00,407.00,418.00,433.00,431.00,2041.00,2106.00,2270.00,2639.00,2883.00,3499.00
