blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""490379782003""",,1.00,2155.00,492.00,15248.24,68,80,52,32,40,25,36,40,27,12.18,0.39,2.02,2,2,27021,24510,25345,0,1,1,14943,13203,14782,10998,9616,11074,3937,3573,3693,8,14,15,6,12,13,2.0,4.6,1.45,0.03,987,81,1839,80,109,12,2242,1105,1281,595,74,26
"""490490102184""","""Provo-Orem, UT""",1.00,2690.00,602.00,491.00,71,84,77,43,54,49,28,30,27,12.45,15.27,2.29,2,2,28115,25193,24599,0,0,0,17144,14943,14785,13046,11272,11201,4098,3671,3584,0,0,0,0,0,0,2.1,0.7,1.32,1.23,9597,94,11512,89,12,121,912,2210,2210,,99,1
"""490490101084""","""Provo-Orem, UT""",1.00,1858.00,424.00,286.03,60,70,64,32,40,37,28,30,27,13.51,20.03,2.27,2,2,28414,25458,24846,0,0,0,17104,14940,14790,12961,11231,11170,4142,3709,3620,2,0,0,2,0,0,2.4,0.5,2.47,1.48,7251,84,10256,89,18,93,1125,1645,1645,,96,4
"""490399723004""",,1.00,511.00,166.00,1024.74,53,64,50,24,30,23,29,33,27,11.01,1.78,2.03,2,2,25412,22984,25066,1,1,1,14738,13445,14801,11024,10081,11137,3703,3349,3652,11,15,12,10,12,10,2.9,0.6,0.80,0.16,826,93,1187,81,29,35,1299,1011,1080,840,71,29
"""490050014012""","""Logan, UT-ID""",1.00,1859.00,439.00,788.76,57,67,51,25,32,24,31,35,27,12.13,6.75,2.17,2,2,26852,24353,24986,0,0,0,15728,14169,14804,11812,10612,11156,3913,3549,3641,4,8,8,3,7,6,2.5,0.3,1.53,0.56,2610,93,2612,84,25,58,1082,1059,1095,904,81,19
"""490532717021""","""St. George, UT""",1.00,1616.00,425.00,9737.22,55,65,52,26,32,24,29,33,27,11.80,0.52,2.02,2,2,25703,23145,25342,0,0,0,14754,13562,14805,11009,10190,11112,3745,3373,3693,0,0,0,0,0,0,2.8,1.7,1.03,0.04,1897,75,2729,83,122,11,2622,1079,,1079,64,36
"""490111263051""","""Ogden-Clearfield, UT""",1.00,2386.00,702.00,3764.39,56,65,63,29,37,35,26,29,28,11.67,2.18,2.26,2,2,27154,24567,25192,0,0,0,16890,14633,15021,12928,11051,11347,3958,3580,3671,4,3,3,3,3,3,0.9,3.0,2.06,0.19,3776,96,4604,85,62,19,1541,1556,1556,,92,8
"""490479402012""","""Vernal, UT""",1.00,872.00,262.00,25672.35,49,57,57,24,30,30,25,27,27,10.74,0.11,2.17,2,2,27023,24370,24909,3,2,2,16400,14573,14809,12412,10981,11139,3939,3551,3630,49,41,41,42,35,35,1.9,3.7,0.21,0.01,401,65,557,76,313,6,4500,1339,1572,779,71,29
"""490211102002""","""Cedar City, UT""",1.00,1990.00,497.00,1517.36,63,74,51,29,37,24,34,37,28,12.25,4.01,2.05,2,2,26455,23964,25433,0,0,1,14993,13139,14820,11131,9637,11104,3855,3493,3706,7,9,10,6,7,9,1.8,1.8,0.82,0.33,1940,97,1264,80,47,40,1713,1068,1098,957,79,21
"""490070001002""","""Price, UT""",1.00,2635.00,942.00,18691.30,56,65,49,25,31,21,31,34,28,10.95,0.55,2.00,2,2,24733,22135,25121,1,1,1,14496,12756,14828,10872,9512,11146,3604,3226,3660,20,18,22,17,15,18,2.3,1.8,0.81,0.05,997,68,948,79,128,10,2559,962,1072,620,76,24
