blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""490490016011""","""Provo-Orem, UT""",1.00,657.00,186.00,66.55,33,38,35,15,18,17,18,20,18,6.29,17.59,1.51,1,1,18019,15750,15409,11,10,9,11450,9863,9885,8628,7393,7476,2627,2295,2245,196,175,164,177,158,148,9.3,4.0,17.02,2.80,18464,0,29416,91,8,289,844,753,,753,0,100
"""490490031043""","""Provo-Orem, UT""",1.00,1428.00,316.00,281.55,67,80,73,40,50,46,28,30,28,12.94,14.53,2.28,2,2,28116,25376,24840,0,0,0,17106,14962,14837,13008,11264,11218,4098,3698,3620,0,0,0,0,0,0,2.9,0.1,1.77,1.12,5001,95,4290,87,11,144,1070,2053,2200,1096,87,13
"""490490101113""","""Provo-Orem, UT""",1.00,2670.00,580.00,1068.67,54,64,59,27,34,31,27,30,28,12.63,6.86,2.26,2,2,28180,25497,24997,0,0,0,16983,14929,14837,12876,11214,11195,4108,3715,3642,0,0,0,0,0,0,3.0,0.3,2.65,0.54,6400,94,6107,88,22,49,1107,1396,1336,1590,77,23
"""490211107022""","""Cedar City, UT""",1.00,3776.00,1255.00,8869.02,68,80,55,34,43,28,34,38,28,10.87,1.54,2.04,2,2,26456,23826,25388,0,0,0,14980,13172,14838,11125,9699,11138,3855,3473,3699,0,0,0,0,0,0,2.9,0.6,2.12,0.14,1697,73,2224,83,72,18,1986,1249,1372,911,73,27
"""490050012011""","""Logan, UT-ID""",1.00,2018.00,505.00,879.74,63,75,57,32,40,30,32,35,28,12.59,7.23,2.19,2,2,26892,24278,24942,0,0,0,15846,14186,14839,11928,10647,11204,3919,3538,3634,0,1,1,0,1,1,1.6,1.7,1.24,0.57,4944,98,5553,86,21,68,1274,1330,1357,864,94,6
"""490490102162""","""Provo-Orem, UT""",1.00,1468.00,380.00,350.12,67,79,72,39,48,45,28,30,28,11.25,12.21,2.29,2,2,28253,25362,24778,0,0,0,17185,14992,14839,13066,11296,11229,4118,3696,3610,0,0,0,0,0,0,2.0,0.8,1.83,1.09,8670,96,10411,89,13,120,1066,2000,2000,,97,3
"""490490102172""","""Provo-Orem, UT""",1.00,1451.00,292.00,1490.43,77,93,85,50,63,57,27,30,28,12.81,2.51,2.25,2,2,28139,25506,25024,0,0,0,16954,14922,14841,12853,11205,11194,4102,3717,3646,0,0,0,0,0,0,2.8,1.5,1.06,0.20,6090,100,7362,87,22,59,1155,2580,2435,3022,75,25
"""490490102093""","""Provo-Orem, UT""",1.00,1068.00,278.00,595.97,66,78,71,38,48,44,28,30,28,10.97,5.12,2.31,2,2,27822,25096,24544,0,0,0,17254,15010,14842,13198,11354,11266,4056,3657,3576,0,0,0,0,0,0,2.0,1.4,0.87,0.47,7986,97,8242,88,19,81,1183,1961,1961,,91,9
"""490439643031""","""Summit Park, UT""",1.00,1435.00,484.00,6298.82,49,59,80,31,38,52,18,21,28,11.64,0.89,2.24,2,2,26471,23742,25212,1,0,0,16631,15118,14843,12772,11657,11169,3859,3461,3674,0,0,0,53,14,21,1.3,3.3,1.00,0.08,2319,82,3301,83,210,9,3416,2334,2454,1953,76,24
"""490211102004""","""Cedar City, UT""",1.00,1838.00,536.00,1481.52,64,74,52,30,37,24,34,37,28,11.26,4.07,2.07,2,2,26219,23552,25083,1,1,1,15084,13139,14843,11252,9696,11175,3820,3433,3655,12,10,13,10,8,11,1.7,2.0,1.34,0.36,2195,92,1306,80,24,43,1239,1083,1083,,93,7
"""490279741002""",,1.00,1055.00,301.00,1593.31,36,42,34,7,8,6,29,34,28,10.75,2.03,2.09,2,2,25892,23443,25053,0,0,0,15126,13860,14875,11353,10444,11224,3773,3416,3650,0,0,0,0,0,0,4.3,0.0,2.26,0.19,960,79,1369,84,28,44,1156,280,,280,60,40
"""490039608023""","""Ogden-Clearfield, UT""",1.00,1535.00,453.00,790.23,56,65,63,30,37,35,26,28,28,11.74,6.73,2.23,2,2,26921,24251,24898,1,1,1,16716,14493,14877,12741,10916,11204,3924,3534,3628,51,43,44,46,39,40,2.1,0.4,1.58,0.57,2327,91,2026,83,24,73,1361,1571,1683,688,89,11
"""490490006042""","""Provo-Orem, UT""",1.00,1578.00,353.00,553.68,69,82,75,42,52,48,28,30,28,13.37,8.52,2.29,2,2,28259,25339,24749,0,0,0,17212,15028,14879,13093,11336,11272,4119,3692,3606,0,0,0,0,0,0,2.1,1.1,1.82,0.64,8952,94,13045,90,14,135,771,2144,2144,,97,3
"""490490001052""","""Provo-Orem, UT""",1.00,1907.00,473.00,416.04,57,67,62,30,37,34,28,30,28,12.19,13.86,2.29,2,2,28234,25411,24866,0,0,0,17165,15012,14881,13049,11309,11257,4116,3703,3623,0,0,0,0,0,0,2.2,0.5,2.11,1.14,9902,100,11435,90,17,109,1046,1530,1541,1433,90,10
"""490490015032""","""Provo-Orem, UT""",1.00,1680.00,491.00,933.73,58,68,62,30,38,34,28,30,28,11.15,5.86,2.27,2,2,28329,25463,24898,0,0,0,17112,15010,14886,12983,11300,11259,4130,3710,3628,0,0,0,0,0,0,2.1,1.7,2.09,0.53,10052,92,14493,90,31,53,1297,1549,1548,1553,88,12
"""490572104021""","""Ogden-Clearfield, UT""",1.00,3853.00,1027.00,1955.50,58,68,65,32,40,38,26,28,28,12.46,6.54,2.24,2,2,27151,24419,25081,0,0,0,16746,14519,14903,12774,10957,11243,3958,3558,3655,14,4,6,12,4,5,1.1,2.7,1.00,0.53,4661,99,5544,86,35,38,1797,1696,1704,1583,94,6
"""490490101072""","""Provo-Orem, UT""",1.00,1468.00,307.00,2134.90,68,81,74,41,51,47,28,31,28,12.63,1.82,2.29,2,2,28376,25485,24863,0,0,0,17200,15109,14980,13063,11395,11357,4136,3713,3623,0,0,0,0,0,0,2.9,0.4,0.39,0.14,4022,73,3629,86,23,55,934,2095,2095,,90,10
"""490490102092""","""Provo-Orem, UT""",1.00,1197.00,331.00,393.28,77,92,84,49,61,56,28,31,28,12.66,10.65,2.30,2,2,28943,26070,25468,0,0,0,17371,15204,15052,13152,11405,11341,4219,3799,3711,0,0,0,0,0,0,1.1,1.9,0.99,0.84,6465,98,6481,87,33,104,1534,2531,2531,,97,3
"""490451307026""","""Salt Lake City, UT""",1.00,270.00,100.00,1571.57,68,81,75,41,51,47,27,30,28,11.33,0.72,2.25,2,2,27002,24523,25089,0,0,0,16765,14732,15059,12827,11157,11402,3936,3573,3656,2,2,2,2,2,2,1.6,2.3,1.24,0.06,2963,100,3365,84,98,18,1971,2111,2111,,70,30
"""490039608022""","""Ogden-Clearfield, UT""",1.00,1261.00,407.00,558.02,51,59,57,24,31,29,27,29,28,11.64,8.49,2.27,2,2,27233,24494,25158,1,1,1,16944,14667,15060,12938,11071,11366,3970,3569,3666,36,27,29,33,24,26,1.5,0.4,1.86,0.73,2797,96,2766,84,21,87,1223,1299,1284,1604,95,5
"""490572104035""","""Ogden-Clearfield, UT""",1.00,1400.00,452.00,1058.40,61,72,69,34,43,41,26,29,28,12.14,5.18,2.24,2,2,27761,24880,25580,0,0,0,16839,14712,15075,12792,11087,11348,4047,3625,3727,0,0,0,0,0,0,1.3,1.8,0.86,0.43,3445,97,4073,85,23,45,1124,1827,1827,,97,3
"""490490104071""","""Provo-Orem, UT""",1.00,1286.00,341.00,1509.89,58,68,62,30,37,34,28,31,28,11.84,2.67,2.35,2,2,28127,25424,24868,1,1,1,17545,15304,15138,13432,11590,11505,4100,3705,3624,13,10,9,12,9,8,2.1,0.3,0.98,0.23,3747,90,3767,86,26,53,1318,1526,1552,1336,88,12
"""490050014011""","""Logan, UT-ID""",1.00,1267.00,346.00,1725.08,60,71,54,28,35,26,32,36,28,12.05,2.42,2.22,2,2,27231,24550,25213,1,1,1,16067,14505,15141,12088,10916,11455,3968,3577,3674,11,12,13,9,10,11,2.2,0.2,2.19,0.20,1828,77,1887,83,38,36,1385,1163,1163,,89,11
"""490111253031""","""Ogden-Clearfield, UT""",1.00,3110.00,895.00,2474.02,58,69,66,32,40,38,26,29,28,12.10,4.38,2.26,2,2,27510,24598,25307,0,0,0,16889,14800,15154,12879,11216,11467,4010,3584,3687,0,0,0,0,0,0,1.2,1.7,1.01,0.36,6811,93,5092,86,45,25,1651,1688,1688,,94,6
"""490490101122""","""Provo-Orem, UT""",1.00,2820.00,723.00,5019.03,56,66,60,28,35,32,28,31,28,12.16,1.75,2.38,2,2,27531,24907,24406,0,0,0,17593,15371,15215,13580,11741,11659,4013,3629,3556,0,0,0,0,0,0,2.5,0.1,2.16,0.14,6567,88,14346,92,38,24,1608,1429,1455,1328,80,20
"""490572104033""","""Ogden-Clearfield, UT""",1.00,1826.00,515.00,1361.30,48,56,54,22,27,26,27,29,28,11.96,4.53,2.26,2,2,27992,25117,25815,0,0,0,16995,14874,15234,12914,11214,11473,4080,3660,3762,0,0,0,0,0,0,1.1,1.5,1.08,0.38,2884,97,3121,84,32,46,1036,1161,1161,,97,3
"""490572105053""","""Ogden-Clearfield, UT""",1.00,3161.00,1047.00,3549.38,56,66,63,29,37,35,27,29,28,11.97,3.53,2.27,2,2,27748,24915,25603,0,0,0,16993,14939,15284,12948,11308,11554,4045,3630,3731,0,0,0,0,0,0,1.3,1.3,0.55,0.29,6274,97,6225,87,58,20,2085,1560,1659,900,87,13
"""490351128101""","""Salt Lake City, UT""",1.00,2463.00,577.00,1203.34,71,84,78,43,54,50,27,30,28,13.42,6.43,2.28,2,2,27779,24789,25526,0,0,0,17049,14918,15296,12999,11306,11577,4049,3612,3719,0,0,0,0,0,0,0.8,2.0,0.47,0.48,7828,96,9410,88,46,43,1660,2248,2248,,99,1
"""490490022071""","""Provo-Orem, UT""",1.00,1021.00,304.00,3372.52,54,63,58,26,32,30,28,31,28,11.39,1.03,2.36,2,2,28121,25510,24995,0,0,0,17550,15435,15301,13451,11718,11659,4099,3717,3642,0,0,0,0,0,0,1.7,0.2,0.76,0.09,6374,80,8519,89,198,14,4010,1327,1631,504,73,27
"""490050011012""","""Logan, UT-ID""",1.00,1160.00,364.00,597.50,74,89,68,42,53,39,32,36,28,12.02,7.32,2.22,2,2,27995,25149,25875,0,0,0,16174,14670,15301,12095,11006,11531,4079,3665,3770,0,0,0,0,0,0,0.8,1.3,1.12,0.61,4861,100,5570,86,37,61,1564,1767,1767,,98,2
"""490351152091""","""Salt Lake City, UT""",1.00,2989.00,759.00,4299.89,62,73,68,35,43,40,28,30,28,12.29,2.17,2.31,2,2,26128,23608,24203,5,5,5,17120,14886,15302,13175,11315,11644,3809,3440,3527,136,131,132,122,118,119,0.9,2.6,2.24,0.18,9345,99,11646,88,74,17,1784,1798,1805,1735,90,10
"""490351128103""","""Salt Lake City, UT""",1.00,1911.00,478.00,886.21,70,84,78,43,54,49,27,30,28,13.39,7.22,2.28,2,2,27922,24986,25701,0,0,0,17075,14934,15308,13005,11293,11563,4070,3641,3745,0,0,0,0,0,0,1.0,1.2,0.67,0.54,6507,100,8490,88,33,53,1569,2220,2220,,97,3
"""490279741004""",,1.00,892.00,309.00,848.52,50,58,47,19,24,18,30,35,29,10.88,3.96,2.18,2,2,26305,23524,25308,0,0,0,15719,14287,15361,11886,10859,11674,3833,3428,3688,0,0,0,0,0,0,3.0,0.0,3.32,0.36,1256,83,1848,85,13,71,794,820,809,908,89,11
"""490490101041""","""Provo-Orem, UT""",1.00,1214.00,306.00,1002.44,58,68,62,29,36,33,29,31,29,12.36,3.77,2.38,2,2,28624,25887,25316,0,0,0,17787,15558,15400,13615,11786,11711,4173,3772,3689,0,0,0,0,0,0,1.6,0.2,2.92,0.31,3334,100,2893,85,20,64,875,1495,1495,,93,7
"""490490101111""","""Provo-Orem, UT""",1.00,2647.00,597.00,1213.46,63,75,69,35,43,40,29,31,29,12.71,6.25,2.36,2,2,29132,26243,25642,0,0,0,17709,15547,15402,13463,11723,11666,4247,3824,3736,0,0,0,0,0,0,1.3,0.3,1.81,0.49,5932,94,5786,87,34,45,1893,1794,1794,,95,5
"""490572105042""","""Ogden-Clearfield, UT""",1.00,2787.00,791.00,2640.49,62,73,70,35,43,41,27,30,29,12.92,3.87,2.29,2,2,28148,25241,25948,0,0,0,17205,15072,15432,13096,11394,11651,4103,3678,3781,6,0,0,5,0,0,0.5,2.2,0.55,0.30,3636,100,3034,83,51,20,1686,1849,1849,,100,0
"""490490030022""","""Provo-Orem, UT""",1.00,1023.00,357.00,1120.15,53,63,57,25,31,29,29,31,29,11.03,3.52,2.36,2,2,28866,26061,25509,0,0,0,17660,15548,15433,13452,11750,11716,4208,3797,3717,0,0,0,0,0,0,2.0,0.1,2.50,0.32,6294,94,5932,88,30,36,1028,1285,1349,891,86,14
"""490490103032""","""Provo-Orem, UT""",1.00,1917.00,495.00,1603.46,65,77,70,36,45,41,29,31,29,12.64,3.90,2.36,2,2,29149,26403,25852,0,0,0,17695,15573,15454,13445,11726,11687,4249,3847,3767,0,0,0,0,0,0,1.6,0.2,1.11,0.31,3799,100,3475,86,32,45,1436,1862,1893,1648,87,13
"""490490101031""","""Provo-Orem, UT""",1.00,4005.00,876.00,1673.73,55,65,59,27,33,31,29,32,29,12.81,6.70,2.36,2,2,29429,26635,26045,0,0,0,17764,15623,15485,13475,11742,11690,4290,3881,3795,0,0,0,0,0,0,0.9,0.3,3.04,0.52,3309,98,2504,84,51,30,1676,1372,1372,,93,7
"""490490022073""","""Provo-Orem, UT""",1.00,1081.00,302.00,946.12,51,59,54,22,27,25,29,32,29,11.63,3.71,2.43,2,2,28413,25695,25153,0,0,0,18017,15688,15494,13876,11944,11829,4142,3744,3665,0,0,0,0,0,0,1.2,0.2,2.35,0.32,7738,99,16038,92,41,37,1721,1133,1152,921,92,8
"""490490031042""","""Provo-Orem, UT""",1.00,1617.00,406.00,1138.50,70,83,76,41,52,48,29,32,29,12.45,4.44,2.39,2,2,28936,26096,25513,0,0,0,17853,15650,15504,13635,11847,11786,4218,3802,3718,0,0,0,0,0,0,1.6,0.1,1.80,0.36,4522,100,4162,87,15,79,835,2135,2135,,97,3
"""490490104112""","""Provo-Orem, UT""",1.00,1348.00,324.00,734.19,63,74,68,34,42,39,29,32,29,12.85,5.67,2.39,2,2,29236,26396,25792,0,0,0,17887,15681,15527,13625,11835,11769,4262,3846,3758,0,0,0,0,0,0,1.2,0.1,1.29,0.44,3000,99,2586,85,21,71,1149,1752,1752,,99,1
"""490111261043""","""Ogden-Clearfield, UT""",1.00,4537.00,980.00,4248.89,63,74,71,35,44,42,27,30,29,13.75,3.17,2.33,2,2,28172,25216,25935,0,0,0,17413,15295,15651,13306,11621,11872,4107,3674,3779,0,0,0,0,0,0,0.3,2.0,1.76,0.23,6203,100,6109,86,75,17,1769,1880,1880,,98,2
"""490490016032""","""Provo-Orem, UT""",1.00,1281.00,0.00,84.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,0.00,0.00,,,,,,,1418,,,,,
"""490572104032""","""Ogden-Clearfield, UT""",1.00,929.00,281.00,2049.75,60,71,67,32,41,38,27,30,29,11.48,1.57,2.33,2,2,28397,25478,26188,0,0,0,17440,15310,15669,13301,11598,11853,4139,3712,3816,0,0,0,0,0,0,0.5,2.0,0.37,0.14,2855,100,3533,84,48,21,1894,1724,1724,,100,0
"""490490103051""","""Provo-Orem, UT""",1.00,1015.00,291.00,1792.57,73,87,80,44,55,51,29,32,29,11.62,1.89,2.40,2,2,29299,26459,25862,0,0,0,17948,15809,15674,13677,11954,11906,4271,3855,3768,0,0,0,0,0,0,1.0,0.4,0.34,0.16,4657,97,3830,86,46,36,1840,2270,2270,,94,6
"""490490104102""","""Provo-Orem, UT""",1.00,1077.00,269.00,1269.95,58,68,62,29,36,33,29,32,29,12.16,2.58,2.42,2,2,29172,26383,25810,0,0,0,18042,15880,15750,13790,12036,11989,4252,3844,3761,0,0,0,0,0,0,1.6,0.0,2.23,0.21,3011,98,2463,86,22,57,1227,1472,1500,1146,92,8
"""490490101032""","""Provo-Orem, UT""",1.00,1462.00,366.00,2393.82,53,62,57,24,30,27,29,32,29,12.18,1.86,2.42,2,2,29482,26571,25934,0,0,0,18132,15948,15796,13834,12077,12017,4298,3872,3779,0,0,0,0,0,0,1.1,0.1,2.50,0.15,2656,90,2588,85,31,46,1078,1233,1233,,100,0
"""490299701002""","""Ogden-Clearfield, UT""",1.00,2403.00,799.00,17056.95,54,64,61,27,33,32,27,30,29,11.92,0.56,2.33,2,2,28437,25692,26357,0,0,0,17478,15479,15807,13330,11736,11967,4145,3744,3841,3,0,0,2,0,0,0.6,1.2,1.36,0.05,1397,93,1785,82,174,9,2694,1415,1530,826,84,16
"""490490101101""","""Provo-Orem, UT""",1.00,1006.00,214.00,1095.50,59,69,63,30,37,34,29,32,29,13.21,2.58,2.44,2,2,29330,26401,25797,0,0,0,18200,16020,15875,13924,12173,12116,4275,3847,3759,0,0,0,0,0,0,0.7,0.3,0.30,0.20,7913,100,8231,89,44,27,2020,1525,1525,,98,2
"""490490101051""","""Provo-Orem, UT""",1.00,2049.00,497.00,2381.22,,,,,,,30,33,30,12.67,2.64,2.44,2,2,29832,26934,26302,0,0,0,18269,16108,15959,13921,12184,12126,4349,3925,3833,0,0,0,0,0,0,0.5,0.2,2.14,0.21,3128,93,2718,85,72,27,1628,,,,98,2
"""490351128181""","""Salt Lake City, UT""",1.00,2855.00,0.00,765.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,0.00,0.00,,,,,,,2178,,,,,
"""490490105042""","""Provo-Orem, UT""",1.00,1353.00,412.00,9067.38,64,76,70,34,42,39,30,33,31,12.14,0.55,2.51,2,2,30019,27242,26673,0,0,0,18683,16577,16467,14307,12608,12580,4376,3970,3887,0,0,0,0,0,0,0.6,0.1,0.08,0.05,2422,100,2536,85,88,14,2359,1750,1750,,89,11
"""490490105031""","""Provo-Orem, UT""",1.00,586.00,227.00,8034.21,60,71,65,30,37,34,30,34,31,10.75,0.30,2.51,2,2,30213,27469,26910,0,0,0,18725,16673,16576,14321,12670,12655,4404,4003,3921,0,0,0,0,0,0,0.3,0.2,0.06,0.03,1983,100,2731,85,211,7,3494,1547,1645,992,85,15
"""490459800001""","""Salt Lake City, UT""",1.00,0.00,0.00,79891.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,0.00,0.00,,,,,,,10804,,,,,
"""490490016023""","""Provo-Orem, UT""",1.00,1454.00,0.00,31.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,0.41,0.00,,,,,,286,1139,,,,,
"""490499801001""","""Provo-Orem, UT""",1.00,0.00,0.00,19583.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,0.00,0.00,,,,,,,1391,,,,,
"""490279742002""",,1.00,702.00,264.00,199962.54,56,67,53,24,30,23,32,37,30,10.71,0.01,2.29,2,2,26279,23613,25263,2,2,2,16321,15134,16064,12451,11656,12343,3829,3441,3681,41,37,40,35,31,34,1.2,0.4,0.10,0.00,262,66,319,76,439,3,5077,1042,1042,,77,23
"""490519604002""","""Heber, UT""",1.00,3539.00,1112.00,6606.83,53,63,62,28,35,35,25,28,28,12.09,2.04,2.25,2,2,28022,25301,25453,0,0,0,16931,14948,15028,12846,11261,11319,4085,3687,3709,0,0,0,0,0,0,2.7,0.3,1.27,0.17,3411,82,3592,86,63,22,1961,1550,1800,899,72,28
"""490139406003""",,1.00,1801.00,616.00,137752.24,51,60,57,24,29,27,28,31,30,10.99,0.05,2.30,2,2,26351,23582,25621,2,2,2,17036,15179,16060,13154,11710,12289,3841,3436,3733,41,33,37,35,28,32,0.4,1.0,0.08,0.00,324,73,383,76,565,3,5641,1199,1257,895,84,16
"""490351011021""","""Salt Lake City, UT""",1.00,1414.00,856.00,25.25,36,42,39,20,25,23,15,16,15,4.48,151.85,1.19,1,1,13737,11768,12165,29,26,27,9530,8066,8307,6809,5696,5855,2002,1715,1773,718,655,679,648,590,613,9.3,8.7,36.64,33.90,31565,0,96047,93,13,127,1047,1049,,1049,5,95
"""490351008003""","""Salt Lake City, UT""",1.00,929.00,500.00,69.60,29,34,32,14,17,16,16,17,16,3.68,26.47,1.23,1,1,14040,12122,12500,27,25,26,9743,8334,8548,7011,5931,6070,2047,1766,1821,685,637,656,618,574,592,9.3,8.7,15.79,7.18,28277,0,91042,92,12,147,884,717,,717,1,99
"""490351019002""","""Salt Lake City, UT""",1.00,1011.00,559.00,86.44,29,34,32,13,17,16,16,17,16,4.53,29.29,1.26,1,1,14187,12231,12621,23,21,22,9844,8385,8605,7209,6066,6215,2068,1782,1839,567,537,551,511,484,497,9.3,8.8,13.13,6.47,34860,4,93519,92,11,141,845,698,,698,4,96
"""490351011012""","""Salt Lake City, UT""",1.00,1088.00,607.00,60.55,34,39,36,17,21,19,17,18,17,5.19,52.00,1.38,1,1,15351,13415,13793,14,13,14,10456,8820,9077,7864,6528,6721,2238,1955,2010,355,336,346,320,303,312,9.3,8.9,12.29,10.02,31543,16,87110,92,4,275,511,870,1216,813,14,86
"""490351017003""","""Salt Lake City, UT""",1.00,900.00,529.00,43.32,33,37,35,16,20,18,17,18,17,5.60,68.41,1.36,1,1,15440,13431,13845,17,16,16,10463,8838,9107,7791,6486,6682,2251,1957,2017,421,395,408,380,357,368,9.2,9.0,11.00,12.21,33655,10,76939,91,9,266,773,818,1557,694,14,86
"""490351023002""","""Salt Lake City, UT""",1.00,1298.00,937.00,144.26,27,31,29,11,13,12,17,18,17,3.76,24.39,1.34,1,1,15318,13232,13674,21,20,20,10426,8869,9137,7659,6447,6634,2233,1928,1992,535,494,510,482,446,460,9.2,8.5,16.02,6.50,33529,2,98303,93,12,115,886,549,944,478,15,85
"""490351021001""","""Salt Lake City, UT""",1.00,1364.00,1079.00,115.36,28,32,30,12,15,13,16,17,16,4.60,43.01,1.29,1,1,14566,12562,12973,23,22,22,10086,8594,8844,7375,6219,6391,2123,1830,1890,588,545,562,530,491,507,9.1,8.7,10.71,9.35,34199,4,98829,93,14,150,966,602,,602,11,89
"""490351025001""","""Salt Lake City, UT""",1.00,3106.00,1839.00,455.74,35,41,38,19,23,22,16,17,17,4.88,19.68,1.28,1,1,14639,12764,13133,27,25,25,10107,8682,8911,7307,6203,6360,2134,1860,1914,666,619,638,600,558,575,9.3,8.5,17.65,4.04,27764,1,91000,93,9,105,851,972,1665,914,8,92
