place_name,year,place_medinc,medinc_source
Bluebell,2019,74028.0,acs_place
Bluebell,2020,76890.0,acs_place
Bluebell,2021,83750.0,acs_place
Bluebell,2022,88750.0,acs_place
Bluebell,2023,119107.0,acs_place
Bluebell,2024,91542.0,acs_place
Bluff,2019,64375.0,acs_place
Bluff,2020,71250.0,acs_place
Bluff,2021,48810.0,acs_place
Bluff,2022,51607.0,acs_place
Bluff,2023,53973.0,acs_place
Bluff,2024,56042.0,acs_place
Bluffdale,2019,116454.0,acs_place
Bluffdale,2020,113023.0,acs_place
Bluffdale,2021,113007.0,acs_place
Bluffdale,2022,119009.0,acs_place
Bluffdale,2023,122879.0,acs_place
Bluffdale,2024,129531.0,acs_place
Bonanza,2019,,acs_place
Bonanza,2020,,acs_place
Bonanza,2021,,acs_place
Bonanza,2022,,acs_place
Bonanza,2023,,acs_place
Bonanza,2024,,acs_place
Boulder,2019,51964.0,acs_place
Boulder,2020,44000.0,acs_place
Boulder,2021,44559.0,acs_place
Boulder,2022,49148.0,acs_place
Boulder,2023,50450.0,acs_place
Boulder,2024,39688.0,acs_place
Bountiful,2019,77823.0,acs_place
Bountiful,2020,83660.0,acs_place
Bountiful,2021,89365.0,acs_place
Bountiful,2022,96060.0,acs_place
Bountiful,2023,103723.0,acs_place
Bountiful,2024,104785.0,acs_place
Brian Head,2019,68079.0,extrapolated
Brian Head,2020,72188.0,acs_place
Brian Head,2021,67594.0,interpolated
Brian Head,2022,63000.0,acs_place
Brian Head,2023,64643.0,acs_place
Brian Head,2024,75125.0,acs_place
Brigham City,2019,53504.0,acs_place
Brigham City,2020,57312.0,acs_place
Brigham City,2021,60615.0,acs_place
Brigham City,2022,63315.0,acs_place
Brigham City,2023,66435.0,acs_place
Brigham City,2024,71308.0,acs_place
Brighton,2020,117857.0,acs_place
Brighton,2021,127686.0,acs_place
Brighton,2022,138006.0,acs_place
Brighton,2023,143563.0,acs_place
Brighton,2024,148139.0,acs_place
Bryce Canyon City,2019,,acs_place
Bryce Canyon City,2020,,acs_place
Bryce Canyon City,2021,,acs_place
Bryce Canyon City,2022,,acs_place
Bryce Canyon City,2023,,acs_place
Bryce Canyon City,2024,,acs_place
Cache,2019,,acs_place
Cache,2020,,acs_place
Cache,2021,,acs_place
Cache,2022,,acs_place
Cache,2023,,acs_place
Cache,2024,,acs_place
Cannonville,2019,68750.0,acs_place
Cannonville,2020,62583.0,interpolated
Cannonville,2021,56417.0,interpolated
Cannonville,2022,50250.0,acs_place
Cannonville,2023,29079.0,acs_place
Cannonville,2024,25221.0,extrapolated
Carbonville,2019,66081.0,acs_place
Carbonville,2020,73875.0,acs_place
Carbonville,2021,77321.0,acs_place
Carbonville,2022,77386.0,acs_place
Carbonville,2023,64405.0,acs_place
Carbonville,2024,67193.0,acs_place
Castle Dale,2019,43333.0,acs_place
Castle Dale,2020,51688.0,acs_place
Castle Dale,2021,53348.0,acs_place
Castle Dale,2022,62500.0,acs_place
Castle Dale,2023,69821.0,acs_place
Castle Dale,2024,82958.0,acs_place
Castle Valley,2019,53125.0,acs_place
Castle Valley,2020,53542.0,acs_place
Castle Valley,2021,46667.0,acs_place
Castle Valley,2022,43438.0,acs_place
Castle Valley,2023,44464.0,acs_place
Castle Valley,2024,47167.0,acs_place
Cedar City,2019,48346.0,acs_place
Cedar City,2020,52524.0,acs_place
Cedar City,2021,55022.0,acs_place
Cedar City,2022,60778.0,acs_place
Cedar City,2023,63789.0,acs_place
Cedar City,2024,63589.0,acs_place
Cedar Fort,2019,76250.0,acs_place
Cedar Fort,2020,86250.0,acs_place
Cedar Fort,2021,90250.0,acs_place
Cedar Fort,2022,95938.0,acs_place
Cedar Fort,2023,102500.0,acs_place
Cedar Fort,2024,103000.0,acs_place
Cedar Highlands,2019,74112.0,acs_place
Cedar Highlands,2020,,acs_place
Cedar Highlands,2021,,acs_place
Cedar Highlands,2022,,acs_place
Cedar Highlands,2023,,acs_place
Cedar Highlands,2024,,acs_place
Cedar Hills,2019,104808.0,acs_place
Cedar Hills,2020,107440.0,acs_place
Cedar Hills,2021,117984.0,acs_place
Cedar Hills,2022,130847.0,acs_place
Cedar Hills,2023,137527.0,acs_place
Cedar Hills,2024,139008.0,acs_place
Centerfield,2019,67863.0,acs_place
Centerfield,2020,70545.0,acs_place
Centerfield,2021,66705.0,acs_place
Centerfield,2022,68333.0,acs_place
Centerfield,2023,83281.0,acs_place
Centerfield,2024,77778.0,acs_place
Centerville,2019,93344.0,acs_place
Centerville,2020,100230.0,acs_place
Centerville,2021,107808.0,acs_place
Centerville,2022,113697.0,acs_place
Centerville,2023,117831.0,acs_place
Centerville,2024,123130.0,acs_place
Central,2019,52000.0,acs_place
Central,2020,52159.0,acs_place
Central,2021,54479.0,acs_place
Central,2022,69444.0,acs_place
Central,2023,81875.0,acs_place
Central,2024,115486.0,acs_place
Central Valley,2019,55461.0,acs_place
Central Valley,2020,73750.0,acs_place
Central Valley,2021,92273.0,acs_place
Central Valley,2022,98750.0,acs_place
Central Valley,2023,89583.0,acs_place
Central Valley,2024,93333.0,acs_place
Charleston,2019,76500.0,acs_place
Charleston,2020,70938.0,acs_place
Charleston,2021,76875.0,acs_place
Charleston,2022,107500.0,acs_place
Charleston,2023,93875.0,acs_place
Charleston,2024,96607.0,acs_place
Circleville,2019,52917.0,acs_place
Circleville,2020,48750.0,acs_place
Circleville,2021,55625.0,acs_place
Circleville,2022,58438.0,acs_place
Circleville,2023,74375.0,acs_place
Circleville,2024,75179.0,acs_place
Clarkston,2019,59531.0,acs_place
Clarkston,2020,55313.0,acs_place
Clarkston,2021,55694.0,acs_place
Clarkston,2022,62321.0,acs_place
Clarkston,2023,65625.0,acs_place
Clarkston,2024,75208.0,acs_place
Clawson,2019,64167.0,acs_place
Clawson,2020,45000.0,acs_place
Clawson,2021,39375.0,acs_place
Clawson,2022,43750.0,acs_place
Clawson,2023,62188.0,acs_place
Clawson,2024,75250.0,acs_place
Clear Creek,2019,,acs_place
Clear Creek,2020,,acs_place
Clear Creek,2021,,acs_place
Clear Creek,2022,,acs_place
Clear Creek,2023,,acs_place
Clear Creek,2024,,acs_place
Clearfield,2019,60260.0,acs_place
Clearfield,2020,62374.0,acs_place
Clearfield,2021,64689.0,acs_place
Clearfield,2022,69889.0,acs_place
Clearfield,2023,75429.0,acs_place
Clearfield,2024,75495.0,acs_place
Cleveland,2019,78214.0,acs_place
Cleveland,2020,77768.0,acs_place
Cleveland,2021,82609.0,acs_place
Cleveland,2022,90326.0,acs_place
Cleveland,2023,92589.0,acs_place
Cleveland,2024,74375.0,acs_place
Clinton,2019,82161.0,acs_place
Clinton,2020,88023.0,acs_place
Clinton,2021,90397.0,acs_place
Clinton,2022,102712.0,acs_place
Clinton,2023,109915.0,acs_place
Clinton,2024,116194.0,acs_place
Coalville,2019,81466.0,acs_place
Coalville,2020,80063.0,acs_place
Coalville,2021,80529.0,acs_place
Coalville,2022,84917.0,acs_place
Coalville,2023,85921.0,acs_place
Coalville,2024,95729.0,acs_place
Copperton,2019,80909.0,acs_place
Copperton,2020,68472.0,acs_place
Copperton,2021,70076.0,acs_place
Copperton,2022,78281.0,acs_place
Copperton,2023,77778.0,acs_place
Copperton,2024,83000.0,acs_place
Corinne,2019,52228.0,acs_place
Corinne,2020,58558.0,acs_place
Corinne,2021,62857.0,acs_place
Corinne,2022,70227.0,acs_place
Corinne,2023,74844.0,acs_place
Corinne,2024,76429.0,acs_place
Cornish,2019,52321.0,acs_place
Cornish,2020,51250.0,acs_place
Cornish,2021,55625.0,acs_place
Cornish,2022,85000.0,acs_place
Cornish,2023,87500.0,acs_place
Cornish,2024,97500.0,acs_place
Cottonwood Heights,2019,93564.0,acs_place
Cottonwood Heights,2020,95427.0,acs_place
Cottonwood Heights,2021,99645.0,acs_place
Cottonwood Heights,2022,110197.0,acs_place
Cottonwood Heights,2023,116583.0,acs_place
Cottonwood Heights,2024,119422.0,acs_place
Cove,2019,47273.0,acs_place
Cove,2020,48542.0,acs_place
Cove,2021,49100.0,acs_place
Cove,2022,89784.0,interpolated
Cove,2023,130469.0,acs_place
Cove,2024,138190.0,extrapolated
Dammeron Valley,2019,53547.0,acs_place
Dammeron Valley,2020,56910.0,acs_place
Dammeron Valley,2021,65033.0,acs_place
Dammeron Valley,2022,71458.0,acs_place
Dammeron Valley,2023,111146.0,acs_place
Dammeron Valley,2024,114188.0,acs_place
Daniel,2019,85179.0,acs_place
Daniel,2020,89583.0,acs_place
Daniel,2021,89844.0,acs_place
Daniel,2022,99688.0,acs_place
Daniel,2023,113438.0,acs_place
Daniel,2024,106471.0,acs_place
Delta,2019,59200.0,acs_place
Delta,2020,52639.0,acs_place
Delta,2021,62375.0,acs_place
Delta,2022,68110.0,acs_place
Delta,2023,73224.0,acs_place
Delta,2024,78506.0,acs_place
Deseret,2019,36739.0,acs_place
Deseret,2020,55451.0,interpolated
Deseret,2021,74163.0,interpolated
Deseret,2022,92875.0,acs_place
Deseret,2023,111587.0,extrapolated
Deseret,2024,130299.0,extrapolated
Deweyville,2019,73125.0,acs_place
Deweyville,2020,70417.0,acs_place
Deweyville,2021,76667.0,acs_place
Deweyville,2022,76250.0,acs_place
Deweyville,2023,87500.0,acs_place
Deweyville,2024,88750.0,acs_place
Draper,2019,117266.0,acs_place
Draper,2020,112541.0,acs_place
Draper,2021,116977.0,acs_place
Draper,2022,126041.0,acs_place
Draper,2023,130680.0,acs_place
Draper,2024,128910.0,acs_place
Duchesne,2019,52885.0,acs_place
Duchesne,2020,59125.0,acs_place
Duchesne,2021,65208.0,acs_place
Duchesne,2022,72202.0,acs_place
Duchesne,2023,78854.0,acs_place
Duchesne,2024,77059.0,acs_place
Dugway,2019,89491.0,acs_place
Dugway,2020,88558.0,acs_place
Dugway,2021,93482.0,acs_place
Dugway,2022,112500.0,acs_place
Dugway,2023,104145.0,acs_place
Dugway,2024,99583.0,acs_place
Dutch John,2019,83750.0,acs_place
Dutch John,2020,,acs_place
Dutch John,2021,,acs_place
Dutch John,2022,,acs_place
Dutch John,2023,,acs_place
Dutch John,2024,,acs_place
Eagle Mountain,2019,83290.0,acs_place
Eagle Mountain,2020,87094.0,acs_place
Eagle Mountain,2021,91993.0,acs_place
Eagle Mountain,2022,100837.0,acs_place
Eagle Mountain,2023,105576.0,acs_place
Eagle Mountain,2024,113648.0,acs_place
East Basin,2020,136964.0,acs_place
East Basin,2021,170677.0,acs_place
East Basin,2022,172614.0,acs_place
East Basin,2023,187361.0,acs_place
East Basin,2024,145678.0,acs_place
East Carbon,2019,38523.0,acs_place
East Carbon,2020,29867.0,acs_place
