City Area,County,HCOST2019,HCOST2020,HCOST2021,HCOST2022,HCOST2023,HCOST2024,TCOST2019,TCOST2020,TCOST2021,TCOST2022,TCOST2023,TCOST2024,HPLUST2019,HPLUST2020,HPLUST2021,HPLUST2022,HPLUST2023,HPLUST2024
Alpine,Utah,"2,255","2,299","2,741","3,914","4,274","4,341",781,704,751,758,769,775,"3,037","3,002","3,492","4,672","5,043","5,116"
Alta,Salt Lake,-1,-1,-1,-1,-1,-1,603,519,555,575,588,572,-1,-1,-1,-1,-1,-1
American Fork,Utah,"1,700","1,726","2,045","2,767","3,073","3,366",615,576,597,603,609,613,"2,315","2,302","2,642","3,370","3,682","3,979"
Balance of BOX ELDER,Box Elder,-1,-1,-1,-1,-1,-1,"1,018",857,907,970,"1,070",970,-1,-1,-1,-1,-1,-1
Benjamin,Utah,-1,-1,-1,-1,-1,-1,694,643,675,676,679,668,-1,-1,-1,-1,-1,-1
Bluffdale,Salt Lake,"1,842","1,723","2,051","2,753","3,090","3,126",756,685,717,721,727,722,"2,598","2,408","2,768","3,475","3,816","3,849"
Bountiful,Davis,"1,739","1,875","2,102","2,777","3,063","3,253",618,579,599,607,611,612,"2,357","2,454","2,701","3,385","3,674","3,865"
Box Elder County North,Box Elder,-1,-1,-1,-1,-1,-1,794,762,746,755,757,775,-1,-1,-1,-1,-1,-1
Box Elder County South,Box Elder,-1,-1,-1,-1,-1,-1,736,698,714,725,737,736,-1,-1,-1,-1,-1,-1
Brigham City,Box Elder,"1,283","1,417","1,624","2,151","2,390","2,587",495,487,494,495,499,499,"1,778","1,903","2,118","2,645","2,889","3,086"
Brighton,Salt Lake,-1,-1,-1,-1,-1,-1,789,734,753,803,811,800,-1,-1,-1,-1,-1,-1
Cedar Fort,Utah,-1,-1,-1,-1,-1,-1,"1,098",999,957,929,898,902,-1,-1,-1,-1,-1,-1
Cedar Hills,Utah,"2,028","2,149","2,534","3,299","3,574","4,078",731,668,699,713,719,724,"2,758","2,817","3,233","4,012","4,294","4,802"
Centerville,Davis,"1,729","1,819","2,121","2,825","3,178","3,279",636,593,616,624,630,631,"2,365","2,412","2,738","3,450","3,807","3,911"
Clearfield,Davis,"1,447","1,559","1,825","2,356","2,551","2,713",591,556,573,576,576,574,"2,038","2,115","2,398","2,932","3,128","3,287"
Clinton,Davis,"1,597","1,688","1,971","2,658","2,884","2,982",638,594,617,620,624,621,"2,235","2,283","2,588","3,278","3,508","3,603"
Copperton,Salt Lake,-1,-1,-1,-1,-1,-1,823,761,793,786,799,771,-1,-1,-1,-1,-1,-1
Cottonwood Heights,Salt Lake,"2,323","2,474","2,934","4,023","4,240","4,328",607,564,588,597,602,603,"2,929","3,039","3,522","4,620","4,843","4,932"
Deer Ridge,Utah,-1,-1,-1,-1,-1,-1,504,500,532,625,702,723,-1,-1,-1,-1,-1,-1
Draper,Salt Lake,"2,041","2,111","2,507","3,240","3,627","3,936",681,625,652,662,668,669,"2,722","2,736","3,159","3,902","4,295","4,605"
Eagle Mountain,Utah,"1,656","1,713","2,070","2,747","2,945","3,261",876,786,802,805,786,782,"2,532","2,499","2,872","3,551","3,731","4,042"
Eastside Mountains,Utah,-1,-1,-1,-1,-1,-1,989,909,962,963,"1,015",998,-1,-1,-1,-1,-1,-1
Elberta,Utah,-1,-1,-1,-1,-1,-1,"1,209","1,016","1,103","1,124","1,150","1,087",-1,-1,-1,-1,-1,-1
Elk Ridge,Utah,-1,-1,-1,-1,-1,-1,904,799,866,862,866,855,-1,-1,-1,-1,-1,-1
Emigration Canyon,Salt Lake,-1,-1,-1,-1,-1,-1,680,629,671,671,686,683,-1,-1,-1,-1,-1,-1
Fairfield,Utah,-1,-1,-1,-1,-1,-1,"1,168","1,068","1,000",833,810,856,-1,-1,-1,-1,-1,-1
Farmington,Davis,"1,908","1,921","2,263","3,069","3,306","3,400",687,634,663,673,675,672,"2,595","2,554","2,926","3,742","3,981","4,072"
Farr West,Weber,"2,166","2,283","2,917","3,553","4,021","3,984",701,660,687,696,700,700,"2,867","2,943","3,604","4,249","4,721","4,683"
Fruit Heights,Davis,"1,975","2,152","2,521","3,343","3,699","3,667",704,650,677,688,689,686,"2,679","2,802","3,197","4,030","4,388","4,353"
Genola,Utah,-1,-1,-1,-1,-1,-1,"1,166","1,062","1,129","1,103","1,141","1,106",-1,-1,-1,-1,-1,-1
Goshen,Utah,-1,-1,-1,-1,-1,-1,833,743,791,795,799,804,-1,-1,-1,-1,-1,-1
HAFB,Davis,-1,-1,-1,-1,-1,-1,611,568,598,592,600,592,-1,-1,-1,-1,-1,-1
Harrisville,Weber,"1,511","1,573","1,832","2,327","2,638","2,862",612,574,596,603,609,603,"2,123","2,146","2,427","2,930","3,247","3,464"
Herriman,Salt Lake,"1,745","1,911","2,162","2,910","3,342","3,294",792,708,755,761,767,762,"2,537","2,618","2,917","3,671","4,109","4,056"
Highland,Utah,"2,282","2,355","2,941","3,794","3,594","3,930",783,718,756,764,767,769,"3,065","3,073","3,697","4,558","4,361","4,699"
Holladay,Salt Lake,"2,355","2,557","2,800","3,708","4,181","4,515",586,549,571,579,585,587,"2,942","3,107","3,371","4,287","4,765","5,103"
Hooper,Weber,"2,008","2,090","2,463","3,287","3,727","3,546",765,704,737,748,750,742,"2,773","2,794","3,201","4,035","4,477","4,288"
Kaysville,Davis,"1,817","1,936","2,313","3,127","3,357","3,355",702,650,676,686,690,688,"2,519","2,586","2,989","3,814","4,047","4,043"
