City Area,County,HCOST2019,HCOST2020,HCOST2021,HCOST2022,HCOST2023,HCOST2024,TCOST2019,TCOST2020,TCOST2021,TCOST2022,TCOST2023,TCOST2024,HPLUST2019,HPLUST2020,HPLUST2021,HPLUST2022,HPLUST2023,HPLUST2024
Kearns,Salt Lake,"1,459","1,546","1,808","2,309","2,624","2,647",681,631,658,667,673,674,"2,140","2,178","2,466","2,977","3,297","3,321"
Lake Shore,Utah,-1,-1,-1,-1,-1,-1,647,600,639,620,642,636,-1,-1,-1,-1,-1,-1
Layton,Davis,"1,653","1,753","2,030","2,626","2,903","3,001",619,580,601,607,611,610,"2,273","2,333","2,631","3,234","3,514","3,611"
Lehi,Utah,"1,743","1,820","2,157","2,725","2,869","3,399",673,623,647,655,660,662,"2,416","2,443","2,803","3,380","3,529","4,061"
Lindon,Utah,"1,935","1,933","2,472","3,309","3,530","4,103",637,597,621,627,633,640,"2,571","2,529","3,093","3,936","4,163","4,743"
Magna,Salt Lake,"1,540","1,704","1,908","2,467","2,809","2,912",688,632,661,668,671,672,"2,228","2,335","2,570","3,135","3,480","3,584"
Mantua,Box Elder,-1,-1,-1,-1,-1,-1,761,730,769,761,768,760,-1,-1,-1,-1,-1,-1
Mapleton,Utah,"2,032","2,073","2,292","3,336","3,445","3,383",695,637,665,669,668,670,"2,728","2,710","2,958","4,005","4,113","4,053"
Marriott-Slaterville,Weber,-1,-1,-1,-1,-1,-1,634,599,631,627,636,640,-1,-1,-1,-1,-1,-1
Midvale,Salt Lake,"1,700","1,790","2,102","2,676","2,833","3,049",524,494,511,516,519,521,"2,225","2,284","2,613","3,192","3,353","3,569"
Millcreek,Salt Lake,"2,133","2,220","2,541","3,386","3,804","3,963",511,483,499,504,507,509,"2,644","2,703","3,039","3,890","4,311","4,471"
Mosida,Utah,-1,-1,-1,-1,-1,-1,745,585,713,817,"1,029",748,-1,-1,-1,-1,-1,-1
Murray,Salt Lake,"1,659","1,847","2,114","2,734","2,958","3,227",511,485,499,504,507,508,"2,170","2,332","2,613","3,238","3,465","3,734"
North Goshen Valley,Utah,-1,-1,-1,-1,-1,-1,"1,539","1,446","1,475","1,616","1,581","1,543",-1,-1,-1,-1,-1,-1
North Ogden,Weber,"1,677","1,772","2,146","2,706","3,093","3,192",664,621,647,653,659,657,"2,340","2,392","2,793","3,359","3,752","3,848"
North Salt Lake,Davis,"1,788","1,780","2,125","2,857","3,020","3,146",619,580,601,608,612,613,"2,407","2,359","2,727","3,464","3,632","3,759"
Ogden,Weber,"1,292","1,429","1,700","2,188","2,393","2,432",502,478,493,498,503,503,"1,794","1,907","2,193","2,686","2,896","2,935"
Orem,Utah,"1,586","1,630","1,926","2,569","2,811","3,169",558,530,548,553,559,562,"2,144","2,160","2,474","3,122","3,369","3,732"
Palmyra,Utah,-1,-1,-1,-1,-1,-1,570,524,542,551,556,557,-1,-1,-1,-1,-1,-1
Payson,Utah,"1,543","1,588","1,819","2,484","2,768","3,052",672,615,651,646,653,649,"2,215","2,203","2,470","3,130","3,421","3,701"
Perry,Box Elder,"1,557","1,652","1,953","2,603","2,923","2,846",617,590,604,605,610,618,"2,174","2,242","2,558","3,208","3,533","3,465"
Plain City,Weber,"2,006","2,100","2,409","3,510","3,620","3,858",725,680,716,725,736,738,"2,731","2,780","3,125","4,235","4,356","4,595"
Pleasant Grove,Utah,"1,609","1,635","1,924","2,542","2,861","3,142",624,584,607,613,622,625,"2,233","2,219","2,531","3,154","3,484","3,767"
Pleasant View,Weber,"1,895","1,933","2,384","3,264","3,428","3,190",715,668,700,710,710,707,"2,610","2,600","3,084","3,973","4,139","3,897"
Provo,Utah,"1,496","1,610","1,863","2,425","2,671","2,928",486,462,477,478,479,479,"1,982","2,072","2,340","2,903","3,149","3,407"
Riverdale,Weber,"1,554","1,708","1,995","2,676","2,785","2,903",543,515,530,534,538,539,"2,097","2,223","2,526","3,210","3,323","3,442"
Riverton,Salt Lake,"1,960","1,972","2,281","3,036","3,117","3,465",699,637,671,678,684,683,"2,659","2,608","2,952","3,714","3,800","4,148"
Roy,Weber,"1,487","1,589","1,909","2,468","2,645","2,758",596,560,580,584,587,587,"2,082","2,149","2,489","3,051","3,232","3,345"
Salem,Utah,"1,776","1,893","2,057","2,815","2,938","3,490",711,647,682,685,687,690,"2,487","2,540","2,740","3,499","3,625","4,179"
Salt Lake City,Salt Lake,"1,866","1,918","2,181","2,880","3,198","3,376",392,374,384,388,389,389,"2,258","2,292","2,565","3,268","3,587","3,765"
Sandy,Salt Lake,"1,966","2,039","2,421","3,248","3,464","3,753",619,575,599,607,612,613,"2,585","2,615","3,021","3,855","4,076","4,366"
Santaquin,Utah,"1,651","1,690","1,969","2,307","2,627","2,879",855,767,824,799,803,795,"2,505","2,457","2,793","3,106","3,430","3,675"
Saratoga Springs,Utah,"1,815","1,695","2,098","2,876","2,785","3,124",827,738,755,774,774,773,"2,642","2,433","2,854","3,650","3,559","3,897"
SL County East Cyns - BCC,Salt Lake,-1,-1,-1,-1,-1,-1,756,697,638,736,760,680,-1,-1,-1,-1,-1,-1
SL County East Cyns - LCC,Salt Lake,-1,-1,-1,-1,-1,-1,806,764,775,765,765,781,-1,-1,-1,-1,-1,-1
SL County East Cyns - MCC,Salt Lake,-1,-1,-1,-1,-1,-1,520,469,582,537,531,587,-1,-1,-1,-1,-1,-1
SL County East Cyns - Parleys,Salt Lake,-1,-1,-1,-1,-1,-1,761,703,740,705,753,767,-1,-1,-1,-1,-1,-1
SL County West,Salt Lake,-1,-1,-1,-1,-1,-1,908,807,856,851,875,828,-1,-1,-1,-1,-1,-1
South Jordan,Salt Lake,"1,958","1,988","2,325","3,070","3,457","3,670",670,615,645,652,661,660,"2,628","2,603","2,970","3,722","4,118","4,330"
South Ogden,Weber,"1,427","1,520","1,870","2,423","2,580","2,814",572,537,558,566,571,573,"1,999","2,057","2,428","2,989","3,151","3,388"
South Salt Lake,Salt Lake,"1,588","1,654","1,866","2,387","2,674","2,797",396,380,389,393,396,396,"1,984","2,035","2,256","2,780","3,070","3,193"
South Weber,Davis,"1,903","1,925","2,306","2,948","3,347","3,373",720,666,693,700,713,710,"2,623","2,591","2,999","3,648","4,060","4,083"
Spanish Fork,Utah,"1,610","1,662","1,946","2,596","2,699","2,921",650,599,627,628,633,632,"2,261","2,261","2,573","3,224","3,332","3,553"
Springville,Utah,"1,556","1,680","1,932","2,571","2,788","3,183",614,571,593,593,599,600,"2,170","2,252","2,525","3,164","3,387","3,783"
Sunset,Davis,"1,206","1,269","1,575","1,985","2,223","2,298",585,553,567,573,577,570,"1,791","1,822","2,142","2,558","2,800","2,868"
Syracuse,Davis,"1,852","1,930","2,269","3,059","3,195","3,350",697,646,671,676,676,672,"2,550","2,576","2,941","3,735","3,872","4,022"
Taylorsville,Salt Lake,"1,633","1,721","1,969","2,643","2,911","3,063",596,558,580,587,589,591,"2,229","2,280","2,549","3,230","3,500","3,653"
Uintah,Weber,-1,-1,-1,-1,-1,-1,645,597,615,638,649,649,-1,-1,-1,-1,-1,-1
Vineyard,Utah,"1,784","1,592","1,759","2,407","3,326","3,546",605,564,589,593,601,604,"2,388","2,156","2,348","3,000","3,927","4,151"
Washington Terrace,Weber,"1,327","1,452","1,733","2,246","2,492","2,501",549,516,534,541,552,547,"1,876","1,968","2,267","2,787","3,044","3,047"
Weber County,Weber,-1,-1,-1,-1,-1,-1,732,692,739,747,767,777,-1,-1,-1,-1,-1,-1
Weber County East Mountains,Weber,-1,-1,-1,-1,-1,-1,535,531,578,558,550,529,-1,-1,-1,-1,-1,-1
West Bountiful,Davis,"1,893","1,932","2,355","3,026","3,288","3,281",645,603,623,635,642,640,"2,538","2,535","2,978","3,661","3,930","3,921"
West Haven,Weber,"1,739","1,578","1,920","2,572","2,825","2,754",634,594,615,618,621,619,"2,373","2,172","2,535","3,191","3,446","3,373"
West Jordan,Salt Lake,"1,782","1,876","2,175","2,882","3,173","3,286",657,604,633,640,645,646,"2,439","2,481","2,808","3,522","3,818","3,932"
West Mountain Town,Utah,-1,-1,-1,-1,-1,-1,794,747,783,749,753,767,-1,-1,-1,-1,-1,-1
West Point,Davis,"1,801","1,891","2,182","2,865","3,271","3,245",687,638,669,672,670,669,"2,488","2,529","2,851","3,537","3,941","3,914"
West Valley City,Salt Lake,"1,621","1,717","1,979","2,573","2,803","2,968",637,596,617,624,627,627,"2,258","2,312","2,596","3,197","3,430","3,595"
Westside Mountains,Utah,-1,-1,-1,-1,-1,-1,639,420,"1,282","1,439",812,"1,187",-1,-1,-1,-1,-1,-1
White City,Salt Lake,"1,733","1,832","1,898","2,329","2,702","3,476",608,570,592,598,603,605,"2,341","2,402","2,491","2,927","3,305","4,080"
Willard,Box Elder,-1,-1,-1,-1,-1,-1,691,653,680,677,687,690,-1,-1,-1,-1,-1,-1
Woodland Hills,Utah,-1,-1,-1,-1,-1,-1,895,800,856,855,865,860,-1,-1,-1,-1,-1,-1
Woods Cross,Davis,"1,789","1,894","2,134","2,843","3,121","3,068",623,586,604,609,617,616,"2,412","2,480","2,737","3,452","3,738","3,683"
