blkgrp2,blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
4.90351E+11,"""490351128233""","""Salt Lake City, UT""",1,2475,904,552.09,48,58,55,29,36,34,19,22,20,7.35,12.03,1.74,2,2,17675,17380,16924,7,7,7,13958,13016,12812,10928,10035,9911,2831,2783,2710,199,198,192,397,396,383,7.8,6.9,6.46,1.64,16848,27,35402,79,14,107,947,1806,2002,1546,62,38
4.90351E+11,"""490351034001""","""Salt Lake City, UT""",1,1502,556,108.6,48,59,55,28,35,33,20,24,22,6.58,33.68,1.98,2,2,16199,16024,15587,9,8,8,15252,14286,14037,12408,11474,11300,2595,2566,2496,249,247,241,498,494,481,6.3,8.5,5.48,5.12,33742,71,53982,76,10,172,1036,1729,1773,1641,68,32
4.90351E+11,"""490351027013""","""Salt Lake City, UT""",1,2167,534,155.27,39,47,44,19,23,22,20,24,22,7.14,24.55,1.97,2,2,16442,16133,15728,5,5,5,15153,14189,13970,12367,11453,11303,2634,2583,2518,152,153,148,304,306,296,6.4,7.9,4.17,3.44,22690,80,69840,77,4,194,562,1162,1203,1112,56,44
4.90351E+11,"""490351023001""","""Salt Lake City, UT""",1,1021,473,57.71,30,36,34,15,18,18,15,17,16,4.43,36.33,1.42,1,1,11934,11719,11386,10,11,10,11147,10367,10202,8932,8180,8077,1912,1876,1823,303,311,302,606,622,604,8.6,9.1,14.85,8.2,36405,23,101901,73,8,266,773,921,1597,789,26,74
4.90351E+11,"""490351123021""","""Salt Lake City, UT""",1,1189,369,169.44,47,57,53,26,33,32,20,24,22,7.08,15.42,1.97,2,2,16493,16450,15812,4,4,4,15140,14101,13771,12385,11350,11127,2642,2634,2532,114,117,112,228,234,224,4.7,8.7,2.87,2.18,28937,100,56124,75,6,249,672,1652,1652,,100,0
4.90351E+11,"""490351122023""","""Salt Lake City, UT""",1,823,317,196.5,44,53,50,25,31,30,19,22,21,6.86,11.07,1.8,2,2,16986,16791,16349,8,8,8,14222,13233,12968,11276,10319,10128,2721,2688,2618,226,226,223,452,452,445,7.3,8.1,6.36,1.61,28393,46,56332,77,9,202,868,1559,1664,1099,82,18
4.90351E+11,"""490351135102""","""Salt Lake City, UT""",1,982,327,134.63,44,53,50,22,27,26,22,25,24,7.32,17.77,2.14,2,2,17456,17262,16666,4,4,4,16313,15192,14850,13411,12319,12076,2796,2764,2669,106,109,105,213,218,211,4.2,6.6,3.1,2.43,29271,100,49288,79,8,176,821,1355,1385,,98,2
4.90351E+11,"""490351147001""","""Salt Lake City, UT""",1,2389,736,2979.46,41,50,47,17,22,21,24,28,27,9.56,2.36,2.3,2,2,22503,22229,21637,3,3,3,18122,17045,16751,14440,13410,13213,3604,3559,3464,78,76,74,155,151,148,1.8,5.2,3.19,0.25,10308,97,25336,81,42,26,1666,1077,1258,,87,13
4.90351E+11,"""490351141002""","""Salt Lake City, UT""",1,1309,498,356.35,55,67,64,35,44,42,20,24,22,6.77,9.47,1.97,2,2,16684,16520,15990,9,9,8,15260,14206,13878,12338,11313,11074,2672,2645,2560,250,248,243,500,497,487,3.9,8.2,3.23,1.4,30556,90,43096,76,14,114,1138,2174,2262,1750,85,15
4.90351E+11,"""490351135361""","""Salt Lake City, UT""",1,2811,641,180.39,46,55,52,23,29,27,23,27,25,9.06,32.19,2.19,2,2,19735,19481,18972,3,3,3,16992,15957,15674,13733,12739,12542,3161,3119,3038,98,99,95,195,199,189,5,6.2,5.48,3.55,26865,85,33370,79,10,191,1155,1431,1481,1310,73,27
4.90351E+11,"""490351135381""","""Salt Lake City, UT""",1,1823,433,136.51,44,53,50,21,27,25,23,27,25,9.17,29.08,2.16,2,2,20416,20143,19598,3,3,3,16948,15884,15578,13582,12562,12347,3270,3225,3138,96,97,93,192,195,186,4.8,5.2,3.63,3.17,23271,90,24793,81,9,229,940,1333,1393,1046,84,16
4.90351E+11,"""490351135283""","""Salt Lake City, UT""",1,1656,507,112.91,45,54,51,22,28,27,22,26,24,8.97,40.27,2.13,2,2,20867,20709,20067,3,3,3,16782,15713,15370,13354,12311,12075,3342,3316,3213,86,86,82,171,173,164,4.5,5.5,4.58,4.49,21696,100,21446,80,8,289,796,1388,1413,,98,2
4.90351E+11,"""490351143003""","""Salt Lake City, UT""",1,3073,1042,474.62,51,63,59,29,36,35,22,26,24,9.06,19.89,2.1,2,2,21485,21307,20669,2,2,2,16684,15664,15364,13178,12187,11993,3441,3412,3309,65,65,62,130,131,123,5.7,5,3.87,2.2,17584,74,19999,81,8,184,818,1817,1847,1430,93,7
4.90351E+11,"""490351135391""","""Salt Lake City, UT""",1,2259,555,236.01,51,62,59,27,33,32,24,29,27,9.53,22.4,2.36,2,2,21342,21001,20531,3,3,3,18310,17244,16953,14790,13780,13568,3419,3363,3287,101,101,98,202,202,195,3.5,4.6,2.93,2.35,21376,100,21895,81,12,198,909,1667,1759,1136,85,15
4.90351E+11,"""490351135261""","""Salt Lake City, UT""",1,2603,671,1156.05,49,59,56,23,29,28,26,30,28,10.74,6.24,2.42,2,2,24439,24152,23573,2,2,2,19165,18063,17759,15189,14136,13927,3915,3867,3774,61,60,58,122,120,116,2,3.6,3.79,0.58,13650,100,14055,83,31,42,1291,1456,1484,1158,92,8
